A(410),B(435),C(460),D(485),E(510),F(535),G(560),H(585),R(610),I(645),S(680),J(705),U(760),V(810),W(860),K(900),L(940),T(730),pH,EC  (dS/m),OC (%),P   (kg/ha),K (kg/ha),Ca (meq/100g),Mg (meq/100g),S (ppm),Fe (ppm),Mn (ppm),Cu (ppm),Zn (ppm),B (ppm)
2429.58,1108.99,2091.93,737.33,835.14,1376.82,322.87,318.87,1305.33,163.26,332.58,51.68,76.56,237.65,305.23,60.67,38.34,84.07,6.72,0.09,1.05,26.1,444,6.14,2.32,11.21,3.08,14.1,2.23,0.84,1.22
1707.9,725.38,1974.49,670.81,835.93,1685.28,370.31,373.6,1335.77,185.56,321.29,60.57,68.5,241.96,275.96,82.78,43.83,76.5,6.04,0.17,0.33,81.99,372,5.98,0.5,12.93,47.74,37.63,3.28,6.79,1.13
1750.41,1102.02,2481.05,816.8,960.65,1741.43,430.51,437.88,1206.99,227.04,279.2,63.96,68.5,211.82,274.82,89.02,47.47,75.74,5.35,0.07,0.87,80.59,132,3.15,2.49,5.17,14.96,44.53,1.22,1.21,0.98
2546.68,1548.4,2791.56,1007.16,1128,1573.73,488.66,499.63,1338.11,261.84,358.34,77.51,76.56,229.04,314.24,98.09,54.78,84.07,6.38,0.03,0.48,33.81,221.76,3.4,1.9,11.59,6.38,10.62,1.77,0.99,0.27
3090.54,1266.42,2933.88,940.61,1109.84,2047.64,500.91,512.7,1482.11,267.19,354.14,76.67,75.75,259.18,306.36,108.3,55.69,85.59,8.58,0.04,0.69,38.19,234.08,6.6,5.2,34.1,14.08,3.56,1.56,0.4,0.77
2034.91,1303.39,2700,929.52,1074.32,1829.77,474.58,488.09,1332.26,252.47,355.16,73.28,74.95,243.68,315.37,98.09,52.95,82.56,8.6,0.13,0.57,13.14,308,16.6,5.1,17.38,19.25,2.49,1.16,0.11,0.19
3820.02,1361.08,3658.38,916.59,1207.72,1873.95,495.54,505.67,1445.82,264.07,334.63,77.51,74.14,241.96,300.73,137.78,56.6,86.35,6.85,0.11,0.64,32.76,109.53,5.9,3.1,26.49,10.32,21.49,2.6,1.67,0.97
2969.97,1820.42,3117.99,1191.93,1394.8,1584.21,567.56,570.95,1992.54,306,517.35,94.88,107.99,299.65,482.06,134.95,72.12,120.13,6.29,0.06,0.21,56.06,158.21,4.2,1.5,11.59,26.45,17.8,1.19,1.03,0.73
2644.69,995.4,2977.66,2977.66,932.24,1852.98,385.9,398.71,1297.14,212.32,269.97,66.92,66.89,224.74,298.47,134.38,50.21,78.77,7.49,0.11,0.61,37.49,133.87,4,1.2,21.52,7.75,15.7,0.72,1.64,0.89
2433.92,1042.23,2524.84,834.35,985.91,1929.35,424.06,430.85,1313.53,219.91,240.2,66.5,62.5,215.27,212.87,91.85,48.39,74.98,7.06,0.49,0.78,48.35,480.09,22.1,7.1,12,5.22,20.06,1.91,0.44,0.42
2079.14,1173.76,2638.3,892.56,1057.72,1942.08,396.65,405.24,1185.23,213.11,257.75,64.81,66.08,207.35,235.4,86.75,47.47,73.47,7.8,0.48,0.6,21.9,344.68,20,11.2,15.75,1.69,12.82,10.38,0.73,0.23
1657.6,1006.36,2520.86,835.28,1027.96,1962.29,436.42,444.91,1400.91,224.81,313.08,67.35,71.72,230.76,275.95,91.28,47.47,79.53,7.08,0.14,0.42,36.26,246.2,3.5,3.8,24.33,4.79,5.97,0.75,0.65,0.83
2251.76,1075.11,2417.36,661.57,986.7,1186.66,393.42,398.71,1000.95,207.86,248.41,58.45,58.83,168.77,229.77,85.05,42,74.23,6.94,0.2,0.88,63.94,295.68,10.16,4.21,14.07,40.54,24.8,2.7,1.24,0.7
